Team Name;M;W;D;L;G;GA;PTS;xG;xGA;xPTS;Squad Value
Manchester City;38;28;7;3;96;34;91;89.55;37.27;83.07;€1.05bn
Arsenal;38;28;5;5;91;29;89;84.39;31.78;81.94;€1.08bn
Liverpool;38;24;10;4;86;41;82;94.79;47.4;76.88;€949.8m
Aston Villa;38;20;8;10;76;61;68;67.42;65.08;55.43;€554.1m
Tottenham;38;20;6;12;74;61;66;73.35;68.07;57.42;€647.1m
Chelsea;38;18;9;11;77;63;63;80.88;62.6;64.2;€913.6m
Newcastle United;38;18;6;14;85;62;60;84.48;62.46;65.59;€638.7m
Manchester United;38;18;6;14;57;58;60;60.33;74.76;44.42;€628.9m
West Ham;38;14;10;14;60;74;52;54.53;77.91;41.28;€320.5m
Crystal Palace;38;13;10;15;57;58;49;53.94;57.99;50.46;€478.8m
Brighton;38;12;12;14;55;62;48;61.91;60.94;54.43;€444.4m
Everton;38;13;9;16;40;51;48;60.75;60.26;53.1;€317.5m
Bournemouth;38;13;9;16;54;67;48;63.76;65.51;53.47;€457.6m
Fulham;38;13;8;17;55;61;47;52.81;66.9;44.99;€333.8
Wolverhampton Wanderers;38;13;7;18;50;65;46;50.65;76.11;39.79;€347.9m
Brentford;38;10;9;19;56;65;39;64.29;60.26;52.94;€374.3m
Nottingham Forest;38;9;9;20;49;67;36;52.16;56.25;50.17;€480.6m
Luton;38;6;8;24;52;85;26;49.87;91.65;32.33;€73.3m
Burnley;38;5;9;24;41;78;24;43.44;75.72;33.69;€249.4m
Sheffield United;38;3;7;28;35;104;16;41.31;85.71;28.53;€150.8m
